ID,Orden,Tema,Artista / versión,Referencia concreta,Voz principal,Voz asignada,Duración directo,Duración original,Estado duración,Tono visible,Tono original,Tono actual banda,Tono propuesto ensayo,Estado tonalidad,Tono Miguel,Tono Carmen,Notas transporte,Cejilla / capo,BPM,Bloque,Estado,Playlist Spotify,Spotify tema,YouTube,Enlace acordes/letra,Estructura,Letra/acordes/tablatura,Notas interpretación/letra,Fuente / validación,Notas internas
1,1,Insurrección (M. Ríos),Miguel Ríos / Manolo García,Versión BCB / validar en ensayo,Miguel,Miguel,3:48,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,,Entrada directa; mantener energía alta desde el primer compás. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Arranque intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Insurrecci%C3%B3n%20%28M.%20R%C3%ADos%29%20Miguel%20R%C3%ADos%20/%20Manolo%20Garc%C3%ADa,https://www.youtube.com/results?search_query=Insurrecci%C3%B3n%20%28M.%20R%C3%ADos%29%20Miguel%20R%C3%ADos%20/%20Manolo%20Garc%C3%ADa%20official,https://www.google.com/search?q=Insurrecci%C3%B3n%20%28M.%20R%C3%ADos%29%20Miguel%20R%C3%ADos%20/%20Manolo%20Garc%C3%ADa%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
2,2,What's Up,4 Non Blondes,Versión BCB / validar en ensayo,Carmen,Carmen,4:56,,Confirmada desde setlist concierto v11,A / La,A / La,A / La,A / La,Orientativo · validar en ensayo,,A / La,Tema exigente para voz femenina; validar comodidad en ensayo largo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Arranque intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/What%27s%20Up%204%20Non%20Blondes,https://www.youtube.com/results?search_query=What%27s%20Up%204%20Non%20Blondes%20official,https://www.google.com/search?q=What%27s%20Up%204%20Non%20Blondes%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
3,3,No puedo vivir sin ti,Los Ronaldos,Versión BCB / validar en ensayo,Ambos,Ambos,4:15,,Confirmada desde setlist concierto v11,C / Do,C / Do,C / Do,C / Do,Orientativo · validar en ensayo,C / Do,C / Do,Funciona como coreable temprano; controlar coros para no tapar la voz principal. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Arranque intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/No%20puedo%20vivir%20sin%20ti%20Los%20Ronaldos,https://www.youtube.com/results?search_query=No%20puedo%20vivir%20sin%20ti%20Los%20Ronaldos%20official,https://www.google.com/search?q=No%20puedo%20vivir%20sin%20ti%20Los%20Ronaldos%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
4,4,House Of The Rising Sun,The Animals,Versión BCB / validar en ensayo,Miguel,Miguel,4:29,,Confirmada desde setlist concierto v11,Am / La menor,Am / La menor,Am / La menor,Am / La menor,Orientativo · validar en ensayo,Am / La menor,,Tono original orientativo; cuidar dinámica y entrada de banda. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Arranque intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/House%20Of%20The%20Rising%20Sun%20The%20Animals,https://www.youtube.com/results?search_query=House%20Of%20The%20Rising%20Sun%20The%20Animals%20official,https://www.google.com/search?q=House%20Of%20The%20Rising%20Sun%20The%20Animals%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
5,5,Call Me (Blondie),Blondie,Versión BCB / validar en ensayo,Carmen,Carmen,3:32,,Confirmada desde setlist concierto v11,Dm / Re menor,Dm / Re menor,Dm / Re menor,Dm / Re menor,Orientativo · validar en ensayo,,Dm / Re menor,Tono original orientativo; mantener pulso y actitud rock. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Arranque intenso,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Call%20Me%20%28Blondie%29%20Blondie,https://www.youtube.com/results?search_query=Call%20Me%20%28Blondie%29%20Blondie%20official,https://www.google.com/search?q=Call%20Me%20%28Blondie%29%20Blondie%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
6,6,Cien gaviotas,Duncan Dhu,Versión BCB / validar en ensayo,Miguel,Miguel,2:50,,Confirmada desde setlist concierto v11,D / Re,D / Re,D / Re,D / Re,Orientativo · validar en ensayo,D / Re,,"Tema medio, limpio y reconocible; cuidar tempo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.",,,Medio,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Cien%20gaviotas%20Duncan%20Dhu,https://www.youtube.com/results?search_query=Cien%20gaviotas%20Duncan%20Dhu%20official,https://www.google.com/search?q=Cien%20gaviotas%20Duncan%20Dhu%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
7,7,Have You Ever Seen The Rain,Creedence Clearwater Revival,Versión BCB / validar en ensayo,Carmen,Carmen,3:38,,Confirmada desde setlist concierto v11,C / Do,C / Do,C / Do,C / Do,Orientativo · validar en ensayo,,C / Do,Tono original orientativo; revisar reparto de coros. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Have%20You%20Ever%20Seen%20The%20Rain%20Creedence%20Clearwater%20Revival,https://www.youtube.com/results?search_query=Have%20You%20Ever%20Seen%20The%20Rain%20Creedence%20Clearwater%20Revival%20official,https://www.google.com/search?q=Have%20You%20Ever%20Seen%20The%20Rain%20Creedence%20Clearwater%20Revival%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
8,8,Llamando a la tierra,M-Clan,Versión BCB / validar en ensayo,Ambos,Ambos,4:05,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,G / Sol,Balada/medio con voces compartidas; cuidar crecimiento. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Llamando%20a%20la%20tierra%20M-Clan,https://www.youtube.com/results?search_query=Llamando%20a%20la%20tierra%20M-Clan%20official,https://www.google.com/search?q=Llamando%20a%20la%20tierra%20M-Clan%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
9,9,Pero a tu lado,Los Secretos,Versión BCB / validar en ensayo,Miguel,Miguel,4:44,,Confirmada desde setlist concierto v11,A / La,A / La,A / La,A / La,Orientativo · validar en ensayo,A / La,,Mantener natural y sin correr; buena transición de bloque. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Pero%20a%20tu%20lado%20Los%20Secretos,https://www.youtube.com/results?search_query=Pero%20a%20tu%20lado%20Los%20Secretos%20official,https://www.google.com/search?q=Pero%20a%20tu%20lado%20Los%20Secretos%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
10,10,Don't Speak,No Doubt,Versión BCB / validar en ensayo,Carmen,Carmen,4:23,,Confirmada desde setlist concierto v11,Cm / Do menor,Cm / Do menor,Cm / Do menor,Cm / Do menor,Orientativo · validar en ensayo,,Cm / Do menor,Tono original orientativo; controlar intensidad del estribillo. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Medio,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Don%27t%20Speak%20No%20Doubt,https://www.youtube.com/results?search_query=Don%27t%20Speak%20No%20Doubt%20official,https://www.google.com/search?q=Don%27t%20Speak%20No%20Doubt%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
11,11,Stand By Me,Ben E. King,Versión BCB / validar en ensayo,Ambos,Ambos,2:54,,Confirmada desde setlist concierto v11,A / La,A / La,A / La,A / La,Orientativo · validar en ensayo,A / La,A / La,Tema relajado/coral; dejar respirar al público. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Stand%20By%20Me%20Ben%20E.%20King,https://www.youtube.com/results?search_query=Stand%20By%20Me%20Ben%20E.%20King%20official,https://www.google.com/search?q=Stand%20By%20Me%20Ben%20E.%20King%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
12,12,Wicked Game (HIM),HIM / Chris Isaak,Versión BCB / validar en ensayo,Miguel,Miguel,3:53,,Confirmada desde setlist concierto v11,Bm / Si menor,Bm / Si menor,Bm / Si menor,Bm / Si menor,Orientativo · validar en ensayo,Bm / Si menor,,Versión HIM como referencia; cuidar atmósfera y no acelerar. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak,https://www.youtube.com/results?search_query=Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak%20official,https://www.google.com/search?q=Wicked%20Game%20%28HIM%29%20HIM%20/%20Chris%20Isaak%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
13,13,Shallow,Lady Gaga / Bradley Cooper,Versión BCB / validar en ensayo,Ambos,Ambos,3:36,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,G / Sol,Dúo; validar entradas y reparto de segunda voz. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper,https://www.youtube.com/results?search_query=Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper%20official,https://www.google.com/search?q=Shallow%20Lady%20Gaga%20/%20Bradley%20Cooper%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
14,14,Cadillac solitario,Loquillo,Versión BCB / validar en ensayo,Miguel,Miguel,4:24,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,,Tema narrativo; voz al frente y guitarras contenidas. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Cadillac%20solitario%20Loquillo,https://www.youtube.com/results?search_query=Cadillac%20solitario%20Loquillo%20official,https://www.google.com/search?q=Cadillac%20solitario%20Loquillo%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: español. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
15,15,With Or Without You,U2,Versión BCB / validar en ensayo,Miguel,Miguel,3:45,,Confirmada desde setlist concierto v11,D / Re,D / Re,D / Re,D / Re,Orientativo · validar en ensayo,D / Re,,Mantener base estable; crescendo controlado. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/With%20Or%20Without%20You%20U2,https://www.youtube.com/results?search_query=With%20Or%20Without%20You%20U2%20official,https://www.google.com/search?q=With%20Or%20Without%20You%20U2%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
16,16,Love Me Do,The Beatles,Versión BCB / validar en ensayo,Ambos,Ambos,2:30,,Confirmada desde setlist concierto v11,G / Sol,G / Sol,G / Sol,G / Sol,Orientativo · validar en ensayo,G / Sol,G / Sol,Tema corto para aligerar bloque; revisar coros. Tonalidad original/actual cargada como referencia de trabajo; confirmar con la banda.,,,Relajado,Activo,https://open.spotify.com/playlist/11xiOaJiHUa7uHxNPxe1OF?si=a73453abe34b4675,https://open.spotify.com/search/Love%20Me%20Do%20The%20Beatles,https://www.youtube.com/results?search_query=Love%20Me%20Do%20The%20Beatles%20official,https://www.google.com/search?q=Love%20Me%20Do%20The%20Beatles%20acordes%20guitarra%20letra%20site%3Aultimate-guitar.com%20OR%20site%3Alacuerda.net%20OR%20site%3Acifraclub.com,,,"Idioma: inglés. Enlaces externos preparados para búsqueda rápida de Spotify, YouTube y acordes.",BCB_SETLIST_CONCIERTO_ONEPAGE_v11_A4_APURADO.pdf · tonos orientativos; validar en ensayo antes de darlos por definitivos.,BCB Setlist concierto v11 · mantener orden del PDF salvo nueva decisión de banda.
